time_s,P_drive_W,P_hvac_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
0.0,345.584192064786,2500.0,1849.6297248421108,995.954467222675,35.0,35.0,0.55,0.525
0.25,971.217444917298,2499.722260798897,2256.110808715527,1214.8288970006681,35.000000594096065,35.0000001913919,0.5500000024576371,0.5250000074989438
0.5,629.6335864927038,2499.444598736858,2033.9008203992153,1095.1773648303465,35.00000147788158,35.000000476083116,0.5500000046732154,0.5250000142592979
0.75,-854.3676974185241,2499.1670137924584,1069.1195556430573,575.679760730877,35.00000219594057,35.000000707345755,0.5500000058378337,0.5250000178128766
1.0,1503.7321472836625,2498.8895059442793,2601.704074598162,1400.9175786297797,35.000002393977056,35.000000771048214,0.550000008671934,0.525000026460516
1.25,1194.329229600102,2498.6120751709086,2400.411848101157,1292.5294566698535,35.000003568921194,35.000001149459386,0.5500000112867617,0.5250000344390929
1.5,360.5693364719125,2498.3347214509386,1858.2876376498534,1000.6164202729979,35.000004568769334,35.000001471410826,0.5500000133110402,0.5250000406157375
1.75,1628.196036511279,2498.0574447629697,2682.064762828262,1444.188718445987,35.00000516748835,35.000001664092046,0.5500000162326794,0.5250000495304826
2.0,1561.1910429620139,2497.7802450856066,2638.331337230953,1420.6399508166671,35.00000641558475,35.00000206594852,0.5500000191066786,0.5250000582998651
2.25,1640.275120167283,2497.50312239746,2689.555857667083,1448.2223848976598,35.00000762301372,35.00000245464917,0.550000022036478,0.5250000672395094
2.5,1524.0700123688218,2497.226076677148,2613.8424578798804,1407.4536311660893,35.000008877582054,35.00000285848336,0.550000024883801,0.5250000759274948
2.75,2191.844984806205,2496.9491079032928,3047.7161602611736,1641.0779324483242,35.00001006215915,35.00000323971461,0.5500000282037532,0.5250000860576054
3.0,1058.1391270189304,2496.6722160545232,2310.627372997745,1244.1839700757087,35.00001167304494,35.000003758232545,0.5500000307207764,0.5250000937377534
3.25,1781.1193799490009,2496.3954011094747,2780.384607688009,1497.1301733704665,35.000012597745595,35.00000405562065,0.5500000337495178,0.5250001029792977
3.5,1611.3189370377752,2496.1186630467882,2669.834440054966,1437.6031600295971,35.00001393754334,35.00000448669505,0.5500000366578341,0.5250001118533912
3.75,2841.664102122299,2495.84200184511,3469.378967578816,1868.127136388593,35.00001517243155,35.00000488391364,0.550000040437114,0.5250001233850402
4.0,2431.8882652830257,2495.565417483093,3202.8448937979774,1724.6087889681414,35.00001725943392,35.00000555559329,0.5500000439260518,0.5250001340307735
4.25,2249.024214682118,2495.2889099393956,3083.803531003984,1660.5095936175296,35.000019037180394,35.00000612755288,0.5500000472853149,0.5250001442808327
4.5,1908.8517621247438,2495.0124791926823,2862.511756856327,1541.3524844610988,35.00002068459789,35.000006657448544,0.5500000504035195,0.5250001537953543
4.75,2582.8096056392747,2494.736125221624,3300.404725059584,1777.1410058013143,35.00002210316995,35.00000711354812,0.5500000539987316,0.5250001647653605
5.0,2997.345923975314,2494.4598480048967,3569.673751787137,1922.1320201930737,35.000023990066055,35.00000772046021,0.5500000578872651,0.5250001766303729
5.25,2862.7609238144278,2494.183647521183,3482.0139713681474,1874.9305999674636,35.00002619779453,35.00000843064879,0.5500000616803087,0.5250001882040186
5.5,4581.543831247411,2493.907523749171,4599.043380747778,2476.4079742488034,35.00002829771534,35.00000910601018,0.5500000666901599,0.5250002034904876
5.75,4443.27453620358,2493.631476667555,4508.988908366238,2427.917104504897,35.00003196467238,35.00001028611304,0.5500000716019126,0.5250002184776302
6.0,874.4098771713716,2493.3555062550345,2189.047499227164,1178.717884199242,35.000035488415776,35.000011419918955,0.5500000739864959,0.5250002257536666
6.25,1845.531092150354,2493.0796124903163,2820.096958016436,1518.5137466242345,35.000036313140164,35.00001168405988,0.550000077058497,0.5250002351272082
6.5,3708.691991036363,2492.8037953521116,4030.9722611525085,2170.523525235966,35.000037686571865,35.00001212493634,0.5500000814495343,0.5250002485255015
6.75,3610.1390964638263,2492.5280548191386,3966.7336483339277,2135.9335029490376,35.00004050022709,35.00001302973352,0.5500000857705949,0.5250002617102763
7.0,4394.78152820475,2492.252390870121,4476.572047398666,2410.4618716762047,35.000043224071725,35.00001390547519,0.550000090647035,0.5250002765896705
7.25,4547.211000643041,2491.976803483788,4575.472072682439,2463.7157314443903,35.0000466948288,35.00001502172256,0.5500000956312094,0.5250002917977923
7.5,6596.417799183364,2491.701292638876,5907.277409684457,3180.8416821377837,35.00005032029914,35.00001618766129,0.5500001020661521,0.5250003114326175
7.75,3515.185611745632,2491.425858314126,3904.2974555388423,2102.314014520915,35.00005636925298,35.00001813418737,0.5500001063191995,0.5250003244098645
8.0,4398.163974482776,2491.1505004882847,4478.05440873119,2411.2600662398713,35.0000590043901,35.00001898066085,0.5500001111972544,0.525000339294186
8.25,6967.036395118043,2490.8752191401063,6147.642549267797,3310.269064990352,35.00006247408062,35.00002009587896,0.5500001178940328,0.5250003597279457
8.5,5719.394711599779,2490.60001424835,5336.4965718012845,2873.4981540468452,35.00006902355249,35.00002220312415,0.5500001237072099,0.5250003774655886
8.75,5884.111061178326,2490.32488579178,5443.38336553057,2931.0525814395373,35.00007395406492,35.00002378852367,0.5500001296368213,0.5250003955585058
9.0,4855.324261018756,2490.049833749168,4774.493161599151,2570.8809331687735,35.00007908358949,35.00002543782282,0.5500001348377943,0.5250004114281411
