time_s,P_drive_W,P_hvac_W,P_chiller_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
0.0,-521.4329220893517,3200.0,0.0,1205.3551850597917,1473.2118928508569,30.0,30.0,0.55,0.525
0.25,4270.997480969606,3199.500104152201,0.0,3361.7239133048124,4108.7736718169945,30.00238655308876,30.004091223545505,0.5500000036620086,0.5250000253628004
0.5,10110.043683838729,3199.00041655095,0.0,8059.044100389678,5250.0,30.004773251337607,30.00818123124634,0.5500000124409238,0.5250000577702079
0.75,13590.128676316608,3198.500937109497,0.0,11538.629613426107,5250.0,30.00716580600715,30.01226944009706,0.550000025010237,0.5250000901776153
1.0,15907.636620761323,3198.0016657411265,0.0,13855.63828650245,5250.0,30.00956611107465,30.016354304113683,0.5500000401035249,0.5250001225850227
1.25,21208.69054583235,3197.502602359159,0.0,19156.19314819151,5250.0,30.011972943358337,30.020435826032863,0.5500000609708376,0.5250001549924301
1.5,24501.88949309138,3197.0037468769524,0.0,22448.893239968333,5250.0,30.014401445146017,30.024514008588987,0.5500000854249697,0.5250001873998376
1.75,28666.603005965666,3196.5050992078986,0.0,26613.108105173564,5250.0,30.01684665275162,30.02858885451421,0.5500001144152835,0.525000219807245
2.0,30533.25492604553,3196.006659265428,0.0,28479.26158531096,5250.0,30.01931733632728,30.032660366538455,0.5500001454384443,0.5250002522146524
2.25,34978.88790282465,3195.508426963005,0.0,32924.396329787654,5250.0,30.021800248781272,30.0367285473894,0.5500001813037998,0.5250002846220598
2.5,37604.4372886045,3195.0104022141322,0.0,34000.0,5250.0,30.024317571667808,30.040793399792506,0.5500002183408368,0.5250003170294673
2.75,40946.95772082115,3194.5125849323454,0.0,34000.0,5250.0,30.026843081850068,30.04485492647099,0.5500002553778738,0.5250003494368747
3.0,41827.894976185424,3194.014975031219,0.0,34000.0,5250.0,30.029367388163276,30.04891313014585,0.5500002924149108,0.5250003818442821
3.25,43470.75243730752,3193.517572424362,0.0,34000.0,5250.0,30.031890491186847,30.05296801353585,0.5500003294519478,0.5250004142516895
3.5,42940.844270173984,3193.0203770254197,0.0,34000.0,5250.0,30.034412391494367,30.05701957935754,0.5500003664889848,0.525000446659097
3.75,46585.49600002808,3192.5233887480736,0.0,34000.0,5250.0,30.036933089659147,30.061067830325243,0.5500004035260218,0.5250004790665044
4.0,43467.48355363336,3192.0266075060413,0.0,34000.0,5250.0,30.039452586254225,30.065112769151057,0.5500004405630587,0.5250005114739118
4.25,45664.75418490685,3191.5300332130755,0.0,34000.0,5250.0,30.041970881852368,30.069154398544867,0.5500004776000957,0.5250005438813192
4.5,43871.41435904629,3191.033665782966,0.0,34000.0,5250.0,30.04448797702607,30.073192721214337,0.5500005146371327,0.5250005762887267
4.75,42357.79789360717,3190.5375051295377,0.0,34000.0,5250.0,30.04700387234755,30.077227739864917,0.5500005516741697,0.5250006086961341
5.0,41049.550954264676,3190.041551166651,0.0,34000.0,5250.0,30.049518568388752,30.08125945719984,0.5500005887112067,0.5250006411035415
5.25,39148.84515114905,3189.545803808204,0.0,34000.0,5250.0,30.052032065721356,30.085287875920137,0.5500006257482437,0.5250006735109489
5.5,37720.28382741374,3189.0502629681278,0.0,34000.0,5250.0,30.05454436491676,30.08931299872462,0.5500006627852807,0.5250007059183563
5.75,34697.42344510073,3188.5549285603925,0.0,32635.97837366112,5250.0,30.057055466546096,30.093334828309892,0.5500006983364554,0.5250007383257638
6.0,33005.86208382173,3188.0598004990015,0.0,30943.921884320735,5250.0,30.059553516415416,30.09735336737036,0.5500007320444312,0.5250007707331712
6.25,27084.014568607767,3187.564878697996,0.0,25021.57944730576,5250.0,30.062036343972988,30.101368618598215,0.5500007593010537,0.5250008031405786
6.5,24998.195714149413,3187.070163071451,0.0,22935.265877220863,5250.0,30.064474757756397,30.105380584683456,0.5500007842850035,0.525000835547986
6.75,20499.20852651263,3186.5756535334795,0.0,18435.78418004611,5250.0,30.066898958686256,30.10938926831387,0.5500008043675572,0.5250008679553935
7.0,17841.451934395493,3186.0813499982287,0.0,15777.533284393721,5250.0,30.069297723816742,30.11339467217505,0.5500008215544125,0.5250009003628009
7.25,11368.362442702753,3185.5872523798816,0.0,9303.949695082636,5250.0,30.071683482034125,30.1173967989504,0.550000831689434,0.5250009327702083
7.5,8504.109010646202,3185.0933605926575,0.0,6439.202371238858,5250.0,30.07404692384806,30.12139565132111,0.5500008387038157,0.5250009651776157
7.75,4578.909656699119,3184.599674550812,0.0,3493.5791990624684,4269.930132187463,30.076403355150653,30.12539123196619,0.5500008425094575,0.5250009915352092
8.0,16812.58513280292,3184.106194168635,0.0,14746.691326971555,5250.0,30.078754845528206,30.129382191100646,0.5500008585733914,0.5250010239426166
8.25,18788.17246628655,3183.612919360453,0.0,16721.785385647003,5250.0,30.081131987050377,30.133371237429287,0.5500008767888439,0.525001056350024
8.5,18142.970743294718,3183.119850040628,0.0,16076.090593335346,5250.0,30.083516101428483,30.13735702005525,0.5500008943009251,0.5250010887574315
