time_s,P_drive_W,P_hvac_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
0.0,151.24270543482646,3000.0,2048.3077585326373,1102.934946902189,35.0,35.0,0.55,0.525
0.25,3992.5725616456293,2999.500104152201,4544.84723276859,2447.2254330292403,35.00146184919708,35.0024129117235,0.550000004950814,0.5250000151063299
0.5,8448.613656012258,2999.00041655095,7440.949147166084,4006.6649253971223,35.0029617371431,35.00485791517305,0.5500000130564231,0.5250000398388294
0.75,11109.636570338924,2998.500937109497,9170.289379841473,4937.848127606947,35.00450784857753,35.00734094919015,0.550000023045845,0.5250000703193733
1.0,18660.520362605763,2998.0016657411265,16416.23002499655,5242.292003350341,35.00608231399892,35.00984663201579,0.5500000409284486,0.5250001026792005
1.25,22128.185854799674,2997.502602359159,19886.027420775412,5239.661036383423,35.00778218028899,35.01235915539587,0.5500000625907878,0.5250001350227872
1.5,24740.322216387838,2997.0037468769524,22500.303076430453,5237.0228868343365,35.00954417002389,35.01487071070673,0.5500000871009219,0.5250001673500889
1.75,29166.74305674617,2996.5050992078986,26928.862402196137,5234.385753757932,35.01135355240858,35.01738129815889,0.5500001164351946,0.5250001996611121
2.0,32044.773689232763,2996.006659265428,29809.030711565025,5231.7496369331675,35.01324468109034,35.019890918171214,0.5500001489069056,0.525000231955863
2.25,34342.41213218393,2995.508426963005,32108.8060232267,5229.1145359202255,35.01518954859054,35.02239957116238,0.5500001838838185,0.5250002642343478
2.5,38198.186514515364,2995.0104022141322,33896.71106958432,5226.4804502795,35.017177657102145,35.02490725755085,0.5500002208083404,0.5250002964965728
2.75,39438.011658348645,2994.5125849323454,33883.19193170541,5223.847379571606,35.01919955155047,35.02741397775487,0.5500002577181355,0.5250003287425442
3.0,41311.51983976153,2994.014975031219,33869.44304945679,5221.215323357388,35.0212206594901,35.02991973219247,0.5500002946129536,0.5250003609722684
3.25,42428.597703662286,2993.517572424362,33855.699515467335,5218.584281197908,35.023240976800885,35.03242452128147,0.5500003314928006,0.5250003931857516
3.5,44499.304075138054,2993.0203770254197,33841.96135775398,5215.9542526544565,35.025260503865475,35.03492834543948,0.5500003683576823,0.5250004253830001
